id,revision,category,date,title,place,region,summary,source,sourceUrl,archivedAt
index-54b9775d8d9faa16,63d881b1ff77524e,indexed,2026-09-18,Медведь вышел к дачам в Кузбассе и напал на домашних животных,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",om1.ru,https://news.google.com/rss/articles/CBMirwFBVV95cUxOSkx3Uk84aUFJbk5Xd1VQdUt0OHAtaEZZaUk3dWpLVVRrU2REYWdHeXBwZWpZMWtIMWptRmxCNFFtUnRsbDh6T0JOUnVSZEw5REQ5YTVzc2U1RldUeUlMcUYzN29OTVBGV2FJa0pJTldtNEJGZy1DWVdHNzkxUXZwZFFrVEVPWGdaRUN1MFZlSGxWRjBzMUFwd3F1TElvSW83eGdmdUN3WENvUG00UmlB?oc=5,2026-09-24T18:54:30+00:00
index-e25f3c9bfb00be13,7c7b08711eb59be1,indexed,2026-09-18,Омич встретил медведя на единственной дороге к селу,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Om1.ru,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQSWw5RWdDTHdUUzAwYkNBV29GSHJaY2R4NTMwNzFJOUZjd2J4RUt4bDRmTVE5SFVLQnBaajN3ekxfRFQwN1J1YkxVOGJURDVwcjJDZ2tKVmdLbDU1VzQteGk3eDRlcmVPYXFtMHVEd1NiMnJKYW1HMjdfTWF2elpvZnF0U3V5YnZjemc4OFFNTUF5MWdZdHV4V09JbWdYdnZGM3R2NVc5TnM3M3lSN0FBc3p1Tm1meFlvZVNZZURWbVQ?oc=5,2026-09-24T18:54:30+00:00
index-a1f0ea3c70cf6e94,d8f9a7229149ab63,indexed,2026-09-18,В Байкальские введен комендантский час из-за выхода медведей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Глагол. Иркутское обозрение,https://news.google.com/rss/articles/CBMiUEFVX3lxTE9mQnZxUzduSW1mOU55VjJ2NFNVOXJBR1lpbUpZTExtMVZyNjg0ckt1M1pEQ3o2aFg5ZW1EZVVhczR1dE42ZEIxQk5BcWszOHpB?oc=5,2026-09-24T18:54:30+00:00
index-562210f632e00064,9eb7c3f6f0a2832a,indexed,2026-09-18,В Палане из-за массового выхода медведей ограничили передвижение подростков,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",kamtoday.ru,https://news.google.com/rss/articles/CBMisgFBVV95cUxNMjlQZ2Y0LXFvdVByVFkxaVJmeHRJWFhnS2Q1ODI3M09fRGN1bkpYTlVxZjBnLVctTldRZjJTSlh5anFDMFFNQzRySHowSENvcGpsZ0t0cTh6WTBXREg5MkVNRm10Um03WEhyNGhyQlRGYzBmQmVkazFvY0x4S0RObU8tRllpYmRKVVhsbVU2ZlV4ZFhWY3hHaElKVHgxbktZVTJYd0JwZ3Q3eVdua2xxQm9n?oc=5,2026-09-24T18:54:30+00:00
index-8aec5eee4df9d9f9,aa7d844786c55417,indexed,2026-09-18,В Абазе за сутки из тайги вышли 10 медведей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",19rusinfo.ru,https://news.google.com/rss/articles/CBMikAFBVV95cUxQQkxGV0NiUFBVM3BCblhHeTVieHVQcFkwLUdXVlc5U2VtVFBOamg3eVdvbDJ1RFdKdXozRG9nSmw3LXpsNDRlY1lGdVM1NDYweGV3Z3ZQa2RHWmZJamNnWHpuT0w4YlF5NENHYXRwS21WdmRMRUZRQ2pEbmZuQTI1N0FiMG85bU93b2FkeUt3cUk?oc=5,2026-09-24T18:54:30+00:00
index-d74a5cf328630cdb,6933572e6b783eb4,indexed,2026-09-18,Вице-премьер Трутнев предложил решать проблему выхода медведей без отстрела,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",360.ru,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPbkdxY0F1bjFpNEcyeDVPcGplVW5rUHk2bXF3VEpFWG9EMXlxQk8tRVNKZzY3U1Q5RnJJWGtMNTFGS1d3WmRNRUozWkxoM0lQbU9FT0hkLXhQWEZoYkM1aFZNNlBMMkMxbmp0Nlh2a0ZNR1NUVHc3ay0zdXJ2Q2JxQVByOEpxdW15aXBfSkU3M2JCSFZoS3h1OHZfSU9jNndGdVRXWEtEVndHTW8?oc=5,2026-09-24T18:54:30+00:00
index-00194e82d9179936,ca81904ac7f5e631,indexed,2026-09-18,Встретил медведя и снял его на камеру: Инспектору заказника «Шайтан-Тау» пришлось спасаться от хищника на дереве,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Урал56.Ру,https://news.google.com/rss/articles/CBMiSkFVX3lxTE0xemc0MENLaE1MT0JJbHlvTHRlSk1kbkdnbFAwVVpwcnE1cEZLMEc4b0htRmNsTnYtdTFJcF9EdEpCX1RORUFGcUZB0gFPQVVfeXFMTVNCckNSanFTS3RUWVBPVjhQMW81TUMxSVI3NVptbk5lNjRTTDYyRlVTYVlyVzRubmZkS3gzM0E1blVyZHB0N0pJTU1yaU1hZw?oc=5,2026-09-24T18:54:30+00:00
index-6ff2655447eb9f9a,4d96dd51b3ed9f4f,indexed,2026-09-18,Убившего двух сборщиков ягод медведя ликвидировали в Киренском округе,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE56MjJVQ3RwajJ6T08xV3pWZUlFTTVkRWtLbG9rcEJNX2RtVHBldm15VkFOSlFJTmxjR2xmZHFwdUswRHNsRzlINF9n?oc=5,2026-09-24T18:54:30+00:00
index-1929465eb0c2cae7,7247189450050f8d,indexed,2026-09-18,Инструктор по выживанию Алёшкин: медведь выходит к людям из-за запаха пищи | RT на русском,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE4yVlZMUkNoVnlQYVRxYnBCUTByLWpySGpTQmxESWY0cmdMNG9YRU1ZVXJITzNRa3hXalQ1aWswUExlNy1SQ3ZRQkFB?oc=5,2026-09-24T18:54:30+00:00
index-52d43f32d97bfc25,8668e6cf92191d1a,indexed,2026-09-18,"В Ермаковском округе ликвидировали медведя, растерзавшего пенсионерку",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9JUVY1SHlta2txYzdycmRfQnMwZEkwZ0hSLUI4LVBnYjJqOGFMaVpvV1Y5YTFaN3FUQVMwV1BIcnh5cWJ5bDY3ZmUxX1kzZ3FGV2lmS0RlUzNQSVYtSDI2YjBR?oc=5,2026-09-24T18:54:30+00:00
index-b693c980ce6b2b62,1783a5bceb66ca17,indexed,2026-09-17,Медведь напал на сборщиков ягод в Иркутской области. Двое погибли,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",ФОНТАНКА.ру,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5INFJva2pTM1MxRGpqVmhWalBQZ01aZk9hdk1nWk1SVkVnbUlleWp0UUhDYVhMVzV2ajV6ajQ1OW9rM0prbG5sYzNtT0ViWTVheTlvTHhOWQ?oc=5,2026-09-24T18:54:30+00:00
index-9b8e085cecc0cf59,01fa22a0a2bbfe73,indexed,2026-09-17,Медведь напал на сборщиков ягоды в Иркутской области,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Новости ТВК,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBBWTNTQ21vZ2g4dTNzY19MSlREQ3J0a25vaHd0MjEzU1NlckdpQUlZLTkzbjU5NzNMMVA2UVRJYWtzWFplMnhZWHlyVS1aeU1NbVpWNmxR?oc=5,2026-09-24T18:54:30+00:00
index-051642c79e871a8c,7021678e8722e162,indexed,2026-09-17,Медведи вышли к людям в Академгородке — сообщения напугали новосибирцев,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Atas.info,https://news.google.com/rss/articles/CBMiugFBVV95cUxNRHIyeFVCdFB5dVpxSWxMLWw0cmo0NEFMUGRnMzZrVFF6QkFLODI3M0pvMVJBZGFPbF90UjM3bDVMTkNYTjR5MW1Da3VlaE5pd19aM2p6X0pBdlg2OWdTMUZFbEo3REQzbzh2TkZTTWp1WlRJcHpFb2VLV0c5SVVpRm1HM0dYUUM3dG44blBWeVhWbmdSTy1lWjE3eHE4SkNuTURXWHFKRTBDSVdHcktNRkZBaUE3UXkzaXc?oc=5,2026-09-24T18:54:30+00:00
index-cdd3c3764c6f0f1c,ca7d71b69f87dec5,indexed,2026-09-17,В Иркутской области ограничат выход людей в леса из-за медведей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Интерфакс,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1hTnpUeXFIbHdGTWdZN2RiMmRvWWRsbnloYnZ5aTFwTXcyVDMwVG5yRF9TRWE2UW93SEtTNV9JYWRNejM5c0NFU3RPU1o1OUnSAUtBVV95cUxOVnVsYzExa3NkeHlVOVJwb05XWS1RSEpOOVMyOU92MlJGN1E2NWxRNTFreWVYcFNpc0NqR3loMUwzbXFodVJCNTJISGM?oc=5,2026-09-24T18:54:30+00:00
index-c087bf82667da254,9dc6dc96d7b177db,indexed,2026-09-17,Почему медведи выходят к людям и уйдут ли в спячку? Мнение охотоведа из Бурятии,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Arigus.tv,https://news.google.com/rss/articles/CBMixAFBVV95cUxQbU1nTTdJWkZIdm84cURjNU5OeVp6VXNWNjY2Q2lUVnAzWmVNQmhaODRrcU9tLXhrU3hJOTVhS19xYW9fUThLODdJekRtdGhoZGlzaVZWR1puenA4dTRybzB3cXhZN3l3UVViMHVFWjNwLWwydTBidUZ1LVFiNW5UUWNBZ1RnZG84YjNnS2R0WC1aWWxudTNrMlpJU3lmZEFJRzhRWWtkWWg5aXQ3MkcwT1R0ZWNKNThSVlpVdEptWWcwTG5m?oc=5,2026-09-24T18:54:30+00:00
index-a26394782bc8100a,8f8e01dc2d14764b,indexed,2026-09-17,"Двое мужчин погибли от лап медведя в Иркутской области, одному удалось спастись",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Телеканал ТНВ Татарстан,https://news.google.com/rss/articles/CBMivAFBVV95cUxQYlZWSzlldlpGNlUzcTVnOXBZVldJbkt3RnhYSHFORDRXLU9YREgxY3hDYUg0MnRUajRHSk1qYkZDRjhwWWFoMUgxZWZYQWItZjItVEhmbjljdWd2OTlFdG9wZGZSMWhWVlAtTm4wMWJtT2xORkN2eDlJcE5PWWphZ1hwUmZxaHZEaG9IcmZ4LWQwaGdGY3docUpCaHUwMGlJeGUwNHB3Nm9OdkdBY3FveFBoaTRCWE1SeTZ5Sw?oc=5,2026-09-24T18:54:30+00:00
index-05b43d741f8dfa8b,0fcb1759f69bdf6c,indexed,2026-09-17,Томские охотоведы получают до 10 сообщений в день о выходе медведей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",riatomsk.ru,https://news.google.com/rss/articles/CBMisAFBVV95cUxQZnFkZFFrZ1hva1NIb0d0R3lhR0RhbElZRGszQzMwNHZJNDhFelhnWjVvYXc0RDZ1cFNjQjZqNlhUYzc4ZHVGTWtIcER4bE01RFp0czZPVVduc3RiQmNmN3VUS1JIR3VfM0xhTXl3NFVDMUJIajZDemhLYldUTC1HRC13SmRJMEdSM3pPVVc4aUs3OFJTTUZBVFZmREJ5S3lucDYtTFQtVHpLTzZ0X3FXMA?oc=5,2026-09-24T18:54:30+00:00
index-2134016b79577f5d,b9520bb01017d39e,indexed,2026-09-17,Загрыз собаку и кур: под Кемерово вышел голодный медведь - соцсети,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",VSE42.Ru,https://news.google.com/rss/articles/CBMiREFVX3lxTE9Va2xPNGFJYWI3Z1c3aU5Cdy1zdWpINXJSdS1WSnV0U2Nuc0VjdVdVQUxlYVpDSlFXLS01MXUtdU55UWp20gFKQVVfeXFMT1JsemtIclNXS1lxb2VBbWNJOFV5SFYtNlBCTWJzbXJEMV9meHdnT1pOMXZGNzVvd05nUzZ4c1NhTHNHcWNvQ2ZvdXc?oc=5,2026-09-24T18:54:30+00:00
index-196314cb4ce4550a,57db659f85d87be1,indexed,2026-09-17,Растерзал. Медведь убил двух сборщиков ягод в Иркутской области: подробности,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE1RWVYtUVZ3U0pMQUFGVENWeXpMWjAxWjVkWDdXUkU1bnIxOEhoX29UOEM5SzBXbDZJU2RSa3VobEpNWkJMVnU0NEhn?oc=5,2026-09-24T18:54:30+00:00
index-da6e7a5ab71dd953,dcd2a21b75f7730d,indexed,2026-09-17,"Эксперт объяснил, почему медведи в России все чаще выходят к людям",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTFBBeGhkN2kzS1VOS0xCdjctNTNVMnc1QnBHT2FKbEE5Rkt0dUpYdFV1OVd1cF81cnY5SGczRW5VQllTN3YwTTNnRGZ3?oc=5,2026-09-24T18:54:30+00:00
index-97db2a3b51531ebb,366ad90cda58c28b,indexed,2026-09-17,В Братске за четыре дня ликвидировали пять вышедших к людям медведей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE1uWm5LbXREWENLLXpXbWt1Z1hOMU5FRWVzalJ3a2MwdnJGVjBnQmt3RnRKaE9hM0xfQ2pYZWlnVTAzT1k5aWVDQjZ3?oc=5,2026-09-24T18:54:30+00:00
index-3f499c1ea0de69c3,ae9bb04f00870499,indexed,2026-09-17,Двое мужчин погибли после нападения медведя в лесу под Иркутском,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTFBLeWYwck9ZUDF2bTV0U1E0ZGhNVFNveHJPdlFDNHdya21ZMGJvMjF6aUY2RU9CZVhuZG9rX0xBZEhmc3dubHZnQ1h3?oc=5,2026-09-24T18:54:30+00:00
index-8f8e452b55cc5a13,4f38566ee0d8c377,indexed,2026-09-16,"«Нападения медведей будут учащаться, а виновниками окажутся хищники, с которыми государство умеет бороться только через отстрелы» — эксперт",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",theins.ru,https://news.google.com/rss/articles/CBMiQ0FVX3lxTFBrT3B6QTZYNHhYY3FtRGZMSFdseDJBVDk5UlYxNGFlakxBZWhpYkJHU0hYRXFrSFpsbGhWdnREMHhGQ0k?oc=5,2026-09-24T18:54:30+00:00
index-f6070c8e378f472c,03de5d76febda147,indexed,2026-09-16,Медведь проник в частный дом и загрыз женщину в Красноярском крае,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",vtomske.ru,https://news.google.com/rss/articles/CBMiogFBVV95cUxOTERmTXZNWnYyOVhrcHdHVWJPNFlSazg4M0k5dHRhclVySWhlWTRYMGlDYjZuNWpEQXVoNkpYOWZvQ3lIUzdXQmFfamZUak9SWXREOG1GTURQX0pKZ01iYU1JdDcwcEljaGVnOTJMYXdNaVB6MUY3ZjlpelJGTHZDMTk1a1dhejQzYlFXLTJ5UGQ0S1o2TXNPMjhvSUNyZHM5TUHSAaABQVVfeXFMTXJueXJWeTQyb0ttMUR4SGJSaWV0WWZkeHlNSTJMcDJnLXZ0SDI5ZkxiNllBWVg5Y1lpekZfNVktWEZBVjZ3TlZIdW4tT25NSjBaa2QyV0pJQzZEbGVVSmhVX3l6WlhmYkpSblJDWndvempVUXkyTkFNZW15dzRvM3Nid1R5M09ZVlhRM2pYQVB4OS1jZjNQNE1td3RHbi1UaA?oc=5,2026-09-24T18:54:30+00:00
index-67f7f69940efd084,dc122d76566e7290,indexed,2026-09-16,Нападение медведя на пенсионерку в Красноярском крае 16 сентября: что случилось,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Газета Metro Москва,https://news.google.com/rss/articles/CBMinAFBVV95cUxObU9NWWZhaDJsMDFEeWZUR0tZeXcyQkJDYTZITVpXNGJMenphTUR0OElDRE1jUWQtRVJFTkg3TFN5Y2N3T3NiZk9qcnN3T045blJKRV9vbVVOdWd0VnpVY1ZIc2ptQmszd29hb181SnpPMjNoZkM2WERDRXVSN1VzVG8teGFsWnZsWTVLcnZqRm0zRHVTdDQ3Z3JLeUQ?oc=5,2026-09-24T18:54:30+00:00
index-45cb6e9bccb07579,ccf25cab8047d072,indexed,2026-09-16,"Медведи выходят к школам и жилым домам. Биолог Михаил Кречмар — о том, чему научить детей",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Правмир,https://news.google.com/rss/articles/CBMitAFBVV95cUxQYXNIb0NpbEhDWkVhWW00TjNWUkxLWTdnU2RQZm1McDU1RURfdGFwck1SQ3ZaMjZXdEZzNmRyRjRKTFF4NnFxRzdXMGEyOEFKNVVPaHBSVTlOM19yRUV3Z18zc0Iwd0NUTnp2YmlDdnM1c19KY01CM0RkSUFzQWkzS0tCUlhuWl9lZVRLOHd2aU5HVDhscmNSREtHd3gtcDJ4and5NGFtREVoY3BrYVZsdTBBVTI?oc=5,2026-09-24T18:54:30+00:00
index-9cdd3044b4b3564c,d34e0a49141bbe7f,indexed,2026-09-16,Появилось видео с места нападения медведя на жительницу Красноярского края,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Prmira.ru,https://news.google.com/rss/articles/CBMivgFBVV95cUxQak5KeDd5d1hwNkZ1a00yMlQ0RXlvT1ZycHdCUW05QUlQZkxiYjJ6c1NIQWVPa3YxVkdpdE9iS3ZWRTc2VzBzQk1hRnBvZ0lsTThRenFDLTBIQkNUOERfNDFkRThOdG9HZnpZQXpBc0pzYTVON1IxX2h0NS00MlRxT2lRQkpSbHY0TG9CcFNEZzc3WjI2QmVKZWZQSWdhQXNqVDdpdmY0bUtybWxoSUlCSThhSEhKbDRySE5tbjdR?oc=5,2026-09-24T18:54:30+00:00
index-7ef52478becdbff2,58c9c6eee1a26bda,indexed,2026-09-16,От центра до ул Пастера: где в Томске бродили медведи в 2021–2026гг,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",riatomsk.ru,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOZEtpekMxcmhJYXlXR2Y3UUUySjRtenVnYXJzclJ0S0pvRS1DLXFVS0dPd0xBbVhfLWZHRmdyLUFfYzgtb0dNU3YtTThhS0IxN1k1MXBYMnRsbnQ2Y2VTWlo1R1lrX0oxbndLVXZOdk12R2UweldKR1NvbzN0TTdtNUV4T0lldktpMTczSTczVmw3Y29DLWpza1U4YTRPWWQzT1ZBb1pBcElqS1E?oc=5,2026-09-24T18:54:30+00:00
index-5b17205f14126ccf,fc17d13307b5821c,indexed,2026-09-16,Представлявшего опасность медведя ликвидировали в СНТ в Иркутской области,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE94UE5XOVZTS0trN2hGU1JpNjRPLXBweWo5UjZvcll4YkwzV0JxWkJrc2tUdnpTUUhITTVxaVg1YmRmd05FU1ZrZ2t3?oc=5,2026-09-24T18:54:30+00:00
index-c8e8b7e84af16757,f5842014e6bcdd97,indexed,2026-09-16,🐻 За полтора месяца случаи нападения медведей зафиксированы в восьми областях России,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9aRnNnZXlsT184cU4tR3F1TUllZG41eWxRSVFTYkluNzdjakRpMnJmRnBpeUo5Q0U5ODBLdjFjZ19ReF9UMm1LZzcycnd5V0E5Yk56NFFqNzVoTmlGRkZWal9R?oc=5,2026-09-24T18:54:30+00:00
index-cc474f9f3d41d98d,7c988fce5b2782d3,indexed,2026-09-16,В Минприроды не подтвердили рекордное число нападений медведей на людей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTFBIM1dJVGdhZFhMRmM3LWlXMGV1ZEphMDNnZXNzU2xtaExkYlJYTVI2NnFlcm9FSHZVbkJ5THpaWTRoa3NWRnMtdTZR?oc=5,2026-09-24T18:54:30+00:00
index-015ba02c455079b8,00782e6ebda11f08,indexed,2026-09-16,Режим повышенной готовности введен в 11 районах Тувы из-за выхода медведей,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE9Xd0JscVBUek8xSE9LdHIwOXBIN0ZyZld6RXR2SVFJYnBCOHRUVkhqbGoydFBCU3QtbFhWQk5yelJOcW5GVXlVaEN3?oc=5,2026-09-24T18:54:30+00:00
index-b958669fed2d3c20,7a6c3ff26b4ab759,indexed,2026-09-15,"«Уже смертушка»: 70-летний рыбак из Бурятии рассказал, как спасался от медведя",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Arigus.tv,https://news.google.com/rss/articles/CBMivAFBVV95cUxOMnJ0bnNVMkRQY21qSjVzeTB1UnVQOVFkSHV3SXIwMC1hd2pCLXYzU3dKUllvNkVqLTdpdG5kY3BRMWhCY0FsUElEdTkzNzMzYng2UFYzMlRfR1NMNi1Fdkx1M1VnQ0Q0Mk1hUXU2Vl9LNTV5ZDBNVXAwbzcxb0RmWFpNdkVEU0sxY045OFdrOElKMWhaZUlvdmotT2VsOXRFTGUtclZoMHJSMVZ5UFdxX09CMG1Yb3FrdHozQQ?oc=5,2026-09-24T18:54:30+00:00
index-280bc452b6b079d6,2a2ead985980afee,indexed,2026-09-14,11 погибших и режимы ЧС. Нашествие медведей в России: что известно,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE9rOUk4cDZucGRyaUpSd3hwNlljVHlPRHg5ZlpTRjluaUNMOHB3MnZzUENZa3JCSWhjOHJabFVqcVlxNjJGcW91bFFn?oc=5,2026-09-24T18:54:30+00:00
index-070cde1449d50857,bfdc35c131f16c89,indexed,2026-09-13,"Нельзя лежать, когда приближается белый медведь: какие правила нарушил сотрудник заповедника при нападении хищника",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE5aRjdodVlfZjB0dlpRaFVMUUdSWTQ5MV9qa2FoTnJ1TzlxUWtDd2hUSF9WOUZnTENWRkhRYXJGbVJfUzRQbmNsM1Jn?oc=5,2026-09-24T18:54:30+00:00
index-dc0f29ed350d426d,a6afe63aad1af35f,indexed,2026-09-12,"В Бурятии отец ранил сына, спасая его от медведя",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTFAwbkVpNTMwdE51OEdMMnZ1SXNtRTA0N1B5MVZjV1VMMDloYS1tUTN3UmhPRGpTVml3bHdOZjgzcEN4ZG1ySDQwbWtB?oc=5,2026-09-24T18:54:30+00:00
index-2209c425580f96a1,10cc135f4c648c2e,indexed,2026-09-11,Нападения медведей в России 2026: карта опасных регионов и статистика,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Новые Известия,https://news.google.com/rss/articles/CBMipgFBVV95cUxPOGJwSVpVMU5jeUFGT0Z3a01Ra004cXhKNDR5VGVab29mQldfckZKbE5TaXVJd2pFTlo4a1RvazlRNndPUzJCWm9CdExPRFl5Q1ZlVVAyWXI0LWh5Q2xGcVptNnZIcHJRbEJSNWtGMkExZHl5Z24xNDJCR2ZLbTRxTEo0NTRYQmpCM2ViRjhfcXFzaU9jQzFfUXRFM0VkQWFfMEVwdXV3?oc=5,2026-09-24T18:54:30+00:00
index-c333266859e4f403,977cf402660c5b5e,indexed,2026-09-11,Медведь напал на женщину на предприятии в пермском Александровске,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTE04eE1FNWwyOGlfVEFYYVVaNlhQX3Y5UEs4RWRFR04wTHBIMUJ6VXZqcDBnV3hNeFpKMmNFU0ptcTY1SkRkTGxUeGpB?oc=5,2026-09-24T18:54:30+00:00
index-4766759b3d39df45,6efe7fc1c7536d42,indexed,2026-09-08,Ни дня без медведей Вот такой чёрный и крупный товарищ вышел,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",ВашГород,https://news.google.com/rss/articles/CBMiSEFVX3lxTE0tUXVDWE8zenY5bGtfaHl4dmNuaHFYemxwMjdtb3ViZlIzeWRCOFdYc05KWW9VWGVDQjdieTI3OC1KWnY1SWhvaQ?oc=5,2026-09-24T18:54:30+00:00
index-cc1b182d395ea2f9,040386f8786148d1,indexed,2026-09-08,"Если медведь напал, нужно притвориться мёртвым? Когда известный совет может спасти, а когда - погубить",,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiSkFVX3lxTFAtZUpMM1Zoc2g5VzdXRU9saHQ4QjRuTTAzcGpsR0hodHczSVFnWEozQTlvd252RTRZdjdGQXd6UlFKem9HOHRKcnNB?oc=5,2026-09-24T18:54:30+00:00
index-4e536b80111414c9,af151f5f95928023,indexed,2026-09-07,В Зейском округе участились случаи выхода медведей к людям | Вести - Амурская область,,,"Заголовок найден в архиве новостей. Текст публикации, дата происшествия и точное место требуют проверки перед добавлением на карту.",Дзен,https://news.google.com/rss/articles/CBMiYkFVX3lxTE90YkZoY3JaalZ6aWNlNFlSZ2ZaTDNQRXBMWFkzMDdpU2c3TC1GV09Rd2Y3Rll2amFOelJHYlFOSnZTVUI2WUc4QVQzdWxleXdRREMtVi1HQ0NYMi12eFdjdXRR?oc=5,2026-09-24T18:54:30+00:00
